case,hour,category,count,denominator,fraction
SZ_Air,49,replace_rule,0,3,0.0
SZ_Air,49,remove_rule,0,3,0.0
SZ_Air,49,move_rule,0,3,0.0
SZ_Air,49,explicit_no_change,3,3,1.0
SZ_Air,49,deterministic_rejection,0,3,0.0
SZ_Air,49,schema_fallback,0,3,0.0
SZ_Air,50,set_param,0,3,0.0
SZ_Air,50,add_rule,0,3,0.0
SZ_Air,50,replace_rule,0,3,0.0
SZ_Air,50,remove_rule,0,3,0.0
SZ_Air,50,move_rule,0,3,0.0
SZ_Air,50,explicit_no_change,3,3,1.0
SZ_Air,50,deterministic_rejection,0,3,0.0
SZ_Air,50,schema_fallback,0,3,0.0
SZ_Air,51,set_param,0,3,0.0
SZ_Air,51,add_rule,0,3,0.0
SZ_Air,51,replace_rule,0,3,0.0
SZ_Air,51,remove_rule,0,3,0.0
SZ_Air,51,move_rule,0,3,0.0
SZ_Air,51,explicit_no_change,3,3,1.0
SZ_Air,51,deterministic_rejection,0,3,0.0
SZ_Air,51,schema_fallback,0,3,0.0
SZ_Air,52,set_param,0,3,0.0
SZ_Air,52,add_rule,0,3,0.0
SZ_Air,52,replace_rule,0,3,0.0
SZ_Air,52,remove_rule,0,3,0.0
SZ_Air,52,move_rule,0,3,0.0
SZ_Air,52,explicit_no_change,3,3,1.0
SZ_Air,52,deterministic_rejection,0,3,0.0
SZ_Air,52,schema_fallback,0,3,0.0
SZ_Air,53,set_param,0,3,0.0
SZ_Air,53,add_rule,0,3,0.0
SZ_Air,53,replace_rule,0,3,0.0
SZ_Air,53,remove_rule,0,3,0.0
SZ_Air,53,move_rule,0,3,0.0
SZ_Air,53,explicit_no_change,3,3,1.0
SZ_Air,53,deterministic_rejection,0,3,0.0
SZ_Air,53,schema_fallback,0,3,0.0
SZ_Air,54,set_param,0,3,0.0
SZ_Air,54,add_rule,0,3,0.0
SZ_Air,54,replace_rule,0,3,0.0
SZ_Air,54,remove_rule,0,3,0.0
SZ_Air,54,move_rule,0,3,0.0
SZ_Air,54,explicit_no_change,3,3,1.0
SZ_Air,54,deterministic_rejection,0,3,0.0
SZ_Air,54,schema_fallback,0,3,0.0
SZ_Air,55,set_param,0,3,0.0
SZ_Air,55,add_rule,0,3,0.0
SZ_Air,55,replace_rule,0,3,0.0
SZ_Air,55,remove_rule,0,3,0.0
SZ_Air,55,move_rule,0,3,0.0
SZ_Air,55,explicit_no_change,3,3,1.0
SZ_Air,55,deterministic_rejection,0,3,0.0
SZ_Air,55,schema_fallback,0,3,0.0
SZ_Air,56,set_param,2,3,0.6666666666666666
SZ_Air,56,add_rule,0,3,0.0
SZ_Air,56,replace_rule,0,3,0.0
SZ_Air,56,remove_rule,0,3,0.0
SZ_Air,56,move_rule,0,3,0.0
SZ_Air,56,explicit_no_change,1,3,0.3333333333333333
SZ_Air,56,deterministic_rejection,0,3,0.0
SZ_Air,56,schema_fallback,0,3,0.0
SZ_Air,57,set_param,0,3,0.0
SZ_Air,57,add_rule,0,3,0.0
SZ_Air,57,replace_rule,1,3,0.3333333333333333
SZ_Air,57,remove_rule,0,3,0.0
SZ_Air,57,move_rule,0,3,0.0
SZ_Air,57,explicit_no_change,0,3,0.0
SZ_Air,57,deterministic_rejection,2,3,0.6666666666666666
SZ_Air,57,schema_fallback,0,3,0.0
SZ_Air,58,set_param,0,3,0.0
SZ_Air,58,add_rule,0,3,0.0
SZ_Air,58,replace_rule,0,3,0.0
SZ_Air,58,remove_rule,0,3,0.0
SZ_Air,58,move_rule,0,3,0.0
SZ_Air,58,explicit_no_change,0,3,0.0
SZ_Air,58,deterministic_rejection,3,3,1.0
SZ_Air,58,schema_fallback,0,3,0.0
SZ_Air,59,set_param,1,3,0.3333333333333333
SZ_Air,59,add_rule,0,3,0.0
SZ_Air,59,replace_rule,0,3,0.0
SZ_Air,59,remove_rule,0,3,0.0
SZ_Air,59,move_rule,0,3,0.0
SZ_Air,59,explicit_no_change,0,3,0.0
SZ_Air,59,deterministic_rejection,2,3,0.6666666666666666
SZ_Air,59,schema_fallback,0,3,0.0
SZ_Air,60,set_param,0,3,0.0
SZ_Air,60,add_rule,0,3,0.0
SZ_Air,60,replace_rule,0,3,0.0
SZ_Air,60,remove_rule,0,3,0.0
SZ_Air,60,move_rule,0,3,0.0
SZ_Air,60,explicit_no_change,0,3,0.0
SZ_Air,60,deterministic_rejection,3,3,1.0
SZ_Air,60,schema_fallback,0,3,0.0
SZ_Air,61,set_param,0,3,0.0
SZ_Air,61,add_rule,0,3,0.0
SZ_Air,61,replace_rule,0,3,0.0
SZ_Air,61,remove_rule,0,3,0.0
SZ_Air,61,move_rule,0,3,0.0
SZ_Air,61,explicit_no_change,0,3,0.0
SZ_Air,61,deterministic_rejection,3,3,1.0
SZ_Air,61,schema_fallback,0,3,0.0
SZ_Air,62,set_param,0,3,0.0
SZ_Air,62,add_rule,0,3,0.0
SZ_Air,62,replace_rule,0,3,0.0
SZ_Air,62,remove_rule,0,3,0.0
SZ_Air,62,move_rule,0,3,0.0
SZ_Air,62,explicit_no_change,0,3,0.0
SZ_Air,62,deterministic_rejection,2,3,0.6666666666666666
SZ_Air,62,schema_fallback,1,3,0.3333333333333333
SZ_Air,63,set_param,1,3,0.3333333333333333
SZ_Air,63,add_rule,0,3,0.0
SZ_Air,63,replace_rule,0,3,0.0
SZ_Air,63,remove_rule,0,3,0.0
SZ_Air,63,move_rule,0,3,0.0
SZ_Air,63,explicit_no_change,0,3,0.0
SZ_Air,63,deterministic_rejection,1,3,0.3333333333333333
SZ_Air,63,schema_fallback,1,3,0.3333333333333333
SZ_Air,64,set_param,1,3,0.3333333333333333
SZ_Air,64,add_rule,0,3,0.0
SZ_Air,64,replace_rule,0,3,0.0
SZ_Air,64,remove_rule,0,3,0.0
SZ_Air,64,move_rule,0,3,0.0
SZ_Air,64,explicit_no_change,0,3,0.0
SZ_Air,64,deterministic_rejection,2,3,0.6666666666666666
SZ_Air,64,schema_fallback,0,3,0.0
SZ_Air,65,set_param,0,3,0.0
SZ_Air,65,add_rule,0,3,0.0
SZ_Air,65,replace_rule,0,3,0.0
SZ_Air,65,remove_rule,0,3,0.0
SZ_Air,65,move_rule,0,3,0.0
SZ_Air,65,explicit_no_change,2,3,0.6666666666666666
SZ_Air,65,deterministic_rejection,1,3,0.3333333333333333
SZ_Air,65,schema_fallback,0,3,0.0
SZ_Air,66,set_param,0,3,0.0
SZ_Air,66,add_rule,0,3,0.0
SZ_Air,66,replace_rule,0,3,0.0
SZ_Air,66,remove_rule,0,3,0.0
SZ_Air,66,move_rule,0,3,0.0
SZ_Air,66,explicit_no_change,2,3,0.6666666666666666
SZ_Air,66,deterministic_rejection,1,3,0.3333333333333333
SZ_Air,66,schema_fallback,0,3,0.0
SZ_Air,67,set_param,0,3,0.0
SZ_Air,67,add_rule,1,3,0.3333333333333333
SZ_Air,67,replace_rule,1,3,0.3333333333333333
SZ_Air,67,remove_rule,0,3,0.0
SZ_Air,67,move_rule,0,3,0.0
SZ_Air,67,explicit_no_change,0,3,0.0
SZ_Air,67,deterministic_rejection,1,3,0.3333333333333333
SZ_Air,67,schema_fallback,0,3,0.0
SZ_Air,68,set_param,0,3,0.0
SZ_Air,68,add_rule,1,3,0.3333333333333333
SZ_Air,68,replace_rule,1,3,0.3333333333333333
SZ_Air,68,remove_rule,0,3,0.0
SZ_Air,68,move_rule,0,3,0.0
SZ_Air,68,explicit_no_change,1,3,0.3333333333333333
SZ_Air,68,deterministic_rejection,0,3,0.0
SZ_Air,68,schema_fallback,0,3,0.0
SZ_Air,69,set_param,0,3,0.0
SZ_Air,69,add_rule,0,3,0.0
