case,repeat,hour,zone,category,operation,status,program_version_before,program_version_after,program_hash_before,program_hash_after,transition_ok
MZ_Air,R02,87,wes,deterministic_rejection,set_param,rejected,22,22,ee290b970937c63da5a6a7b345c2fe23a01b5f49adee8b0849610430e5c7f0f7,ee290b970937c63da5a6a7b345c2fe23a01b5f49adee8b0849610430e5c7f0f7,True
MZ_Air,R02,87,eas,explicit_no_change,no_change,accepted,35,35,e2a94941264005431d2e78a4c0508c650ba4bcecc64e8d2443f235046ebcd8ea,e2a94941264005431d2e78a4c0508c650ba4bcecc64e8d2443f235046ebcd8ea,True
MZ_Air,R02,87,sou,schema_fallback,no_change,model_output_rejected,17,17,9d358e3c4b76fccde8a921676d08ae0d80a789645341f1edc112b5d620948e4d,9d358e3c4b76fccde8a921676d08ae0d80a789645341f1edc112b5d620948e4d,True
MZ_Air,R02,87,cor,deterministic_rejection,replace_rule,rejected,22,22,0587cb53de988d3c33731b4c4490f3c5d38d1e8c67ae1203a8f0b2b6f7738b76,0587cb53de988d3c33731b4c4490f3c5d38d1e8c67ae1203a8f0b2b6f7738b76,True
MZ_Air,R02,88,eas,deterministic_rejection,replace_rule,rejected,35,35,e2a94941264005431d2e78a4c0508c650ba4bcecc64e8d2443f235046ebcd8ea,e2a94941264005431d2e78a4c0508c650ba4bcecc64e8d2443f235046ebcd8ea,True
MZ_Air,R02,88,nor,remove_rule,remove_rule,accepted,27,28,9d47cf14c07746a4c99845d86f0c36d64e64c2317784b7dbdd7ccbf05def4a4e,ba8493170639d300544518001ae0924941ba8afce0099172fa7ffa09de298f76,True
MZ_Air,R02,88,wes,remove_rule,remove_rule,accepted,22,23,ee290b970937c63da5a6a7b345c2fe23a01b5f49adee8b0849610430e5c7f0f7,46da92662e9e3d3dca842f5f1d06ded6bac38386139df42075f2bc54adb9067d,True
MZ_Air,R02,88,sou,replace_rule,replace_rule,accepted,17,18,9d358e3c4b76fccde8a921676d08ae0d80a789645341f1edc112b5d620948e4d,620025b019f15766644f0468adb6ffe1c2891ff21f21e7e13c6e83ba10bd3fb2,True
MZ_Air,R02,88,cor,set_param,set_param,accepted,22,23,0587cb53de988d3c33731b4c4490f3c5d38d1e8c67ae1203a8f0b2b6f7738b76,3c46c789c7a4be898add23d4832d97eb57e2f96df5d1ffb275cd711ed8f4f503,True
MZ_Air,R02,89,eas,schema_fallback,no_change,model_output_rejected,35,35,e2a94941264005431d2e78a4c0508c650ba4bcecc64e8d2443f235046ebcd8ea,e2a94941264005431d2e78a4c0508c650ba4bcecc64e8d2443f235046ebcd8ea,True
MZ_Air,R02,89,nor,explicit_no_change,no_change,accepted,28,28,ba8493170639d300544518001ae0924941ba8afce0099172fa7ffa09de298f76,ba8493170639d300544518001ae0924941ba8afce0099172fa7ffa09de298f76,True
MZ_Air,R02,89,cor,set_param,set_param,accepted,23,24,3c46c789c7a4be898add23d4832d97eb57e2f96df5d1ffb275cd711ed8f4f503,c023b8cb97dff04af3fe4292cff983bbb1bbad344a9c6c280cac314c19100f25,True
